序号,大学名称,完成状态
1,清华大学,完成
2,北京大学,完成
3,浙江大学,完成
4,上海交通大学,完成
5,复旦大学,完成
6,南京大学,完成
7,中国科学技术大学,未完成
8,武汉大学,完成
9,华中科技大学,完成
10,西安交通大学,未完成
11,北京航空航天大学,未完成
12,中山大学,完成
13,北京理工大学,未完成
14,北京协和医学院,未完成
15,哈尔滨工业大学,完成
16,四川大学,完成
17,东南大学,完成
18,中国人民大学,未完成
19,同济大学,完成
20,北京师范大学,完成
21,天津大学,未完成
22,西北工业大学,未完成
23,山东大学,完成
24,南开大学,未完成
25,厦门大学,完成
26,中国农业大学,未完成
27,吉林大学,未完成
28,中南大学,未完成
29,大连理工大学,未完成
30,湖南大学,完成
31,华东师范大学,未完成
32,华南理工大学,完成
33,南方科技大学,未完成
34,电子科技大学,未完成
35,重庆大学,未完成
36,北京科技大学,未完成
37,上海财经大学,未完成
38,首都医科大学,未完成
39,南京航空航天大学,未完成
40,东北大学,未完成
41,南京理工大学,未完成
42,兰州大学,未完成
43,南方医科大学,未完成
44,西安电子科技大学,未完成
45,上海科技大学,未完成
46,北京交通大学,未完成
47,哈尔滨工程大学,未完成
48,华东理工大学,未完成
49,东北师范大学,未完成
50,中央财经大学,未完成
51,苏州大学,完成
52,华中农业大学,完成
53,武汉理工大学,未完成
54,中国石油大学（北京）,未完成
55,郑州大学,未完成
56,江南大学,未完成
57,西南交通大学,未完成
58,南京医科大学,未完成
59,南京农业大学,未完成
60,中国地质大学（武汉）,未完成
61,对外经济贸易大学,未完成
62,暨南大学,未完成
63,华中师范大学,未完成
64,中国海洋大学,完成
65,中国政法大学,未完成
66,南京师范大学,未完成
67,中国矿业大学,未完成
68,天津医科大学,未完成
69,中国医科大学,未完成
70,北京邮电大学,未完成
71,上海大学,未完成
72,北京中医药大学,未完成
73,浙江工业大学,未完成
74,中南财经政法大学,未完成
75,北京化工大学,未完成
76,河海大学,未完成
77,陕西师范大学,未完成
78,西南财经大学,未完成
79,西南大学,未完成
80,中国石油大学（华东）,未完成
81,深圳大学,未完成
82,上海中医药大学,未完成
83,云南大学,完成
84,西北大学,未完成
85,西北农林科技大学,未完成
86,北京工业大学,未完成
87,南昌大学,未完成
88,东华大学,未完成
89,中国地质大学（北京）,未完成
90,中国矿业大学（北京）,未完成
91,广州医科大学,未完成
92,哈尔滨医科大学,未完成
93,福州大学,未完成
94,宁波大学,未完成
95,合肥工业大学,未完成
96,华南师范大学,未完成
97,温州医科大学,未完成
98,中央民族大学,未完成
99,南京邮电大学,未完成
100,东北财经大学,未完成
101,江苏大学,未完成
102,北京外国语大学,未完成
103,上海外国语大学,未完成
104,华北电力大学,未完成
105,中国传媒大学,未完成
106,长安大学,未完成
107,北京林业大学,未完成
108,贵州大学,未完成
109,重庆医科大学,未完成
110,中国药科大学,未完成
111,福建师范大学,未完成
112,湖南师范大学,未完成
113,广西大学,未完成
114,南京林业大学,未完成
115,扬州大学,未完成
116,浙江师范大学,未完成
117,海南大学,未完成
118,南京工业大学,未完成
119,南京中医药大学,未完成
120,南京信息工程大学,未完成
121,广东工业大学,未完成
122,杭州电子科技大学,未完成
123,外交学院,未完成
124,安徽大学,未完成
125,首都师范大学,未完成
126,华南农业大学,未完成
127,广州中医药大学,未完成
128,山西大学,未完成
129,江西财经大学,未完成
130,浙江工商大学,未完成
131,河南大学,未完成
132,太原理工大学,未完成
133,山东师范大学,未完成
134,大连医科大学,未完成
135,河北医科大学,未完成
136,广州大学,未完成
137,浙江理工大学,未完成
138,湘潭大学,未完成
139,上海理工大学,未完成
140,河北工业大学,未完成
141,大连海事大学,未完成
142,青岛大学,未完成
143,燕山大学,未完成
144,东北林业大学,未完成
145,杭州师范大学,未完成
146,西安建筑科技大学,未完成
147,湖北大学,未完成
148,福建医科大学,未完成
149,昆明理工大学,未完成
150,华东政法大学,未完成
151,首都经济贸易大学,未完成
152,西南政法大学,未完成
153,内蒙古大学,未完成
154,西安理工大学,未完成
155,北京语言大学,未完成
156,浙江中医药大学,未完成
157,武汉科技大学,未完成
158,天津中医药大学,未完成
159,江西师范大学,未完成
160,成都中医药大学,未完成
161,东北农业大学,未完成
162,西南石油大学,未完成
163,上海师范大学,未完成
164,福建农林大学,未完成
165,温州大学,未完成
166,长沙理工大学,未完成
167,新疆大学,未完成
168,广东外语外贸大学,未完成
169,南京财经大学,未完成
170,河北大学,未完成
171,北京工商大学,未完成
172,山东科技大学,未完成
173,辽宁大学,未完成
174,成都理工大学,未完成
175,上海体育大学,未完成
176,浙江财经大学,未完成
177,山东农业大学,未完成
178,宁夏大学,未完成
179,华侨大学,未完成
180,陕西科技大学,未完成
181,安徽医科大学,未完成
182,山西医科大学,未完成
183,天津工业大学,未完成
184,长春理工大学,未完成
185,安徽师范大学,未完成
186,石河子大学,未完成
187,山东财经大学,未完成
188,四川农业大学,未完成
189,天津师范大学,未完成
190,南京审计大学,未完成
191,上海海洋大学,未完成
192,江苏科技大学,未完成
193,齐鲁工业大学,未完成
194,上海对外经贸大学,未完成
195,中国计量大学,未完成
196,黑龙江大学,未完成
197,广西医科大学,未完成
198,安徽农业大学,未完成
199,湖北工业大学,未完成
200,中南民族大学,未完成
